"GEOID","RPL_theme1","RPL_theme2","RPL_theme3","RPL_theme4","RPL_themes","year","state"
"35447",0.8302,0.7893,0.9292,0.9544,0.9638,2018,"AL"
"35452",0.1415,0.5597,0.8129,0.4104,0.3711,2018,"AL"
"35453",0.5597,0.3333,0.6981,0.8758,0.7421,2018,"AL"
"35456",0.4025,0.0739,0.2107,0.283,0.1682,2018,"AL"
"35457",NA,NA,NA,NA,NA,2018,"AL"
"35458",0.1006,0.2469,0,0.022,0.0236,2018,"AL"
"35459",0.4481,0.2123,0.456,0.6918,0.5047,2018,"AL"
"35460",0.6179,0.0236,0.577,0.7704,0.4403,2018,"AL"
"35461",0.4686,0.7075,0.2437,0.5,0.478,2018,"AL"
"35462",0.9858,0.9041,0.5031,0.9497,0.9796,2018,"AL"
"35463",0.1116,0.6682,0.2877,0.3019,0.1903,2018,"AL"
"35464",0.6698,0.9528,0.5582,0.684,0.8286,2018,"AL"
"35466",0.3789,0.3868,0.1934,0.4403,0.316,2018,"AL"
"35469",0.5299,0.4623,0.4748,0.0503,0.2154,2018,"AL"
"35470",0.8679,0.5535,0.9324,0.8208,0.9151,2018,"AL"
"35473",0.1557,0.3522,0.239,0.6399,0.283,2018,"AL"
"35474",0.3208,0.7358,0.7138,0.8978,0.7437,2018,"AL"
"35475",0.0723,0.0629,0.4277,0.2311,0.0818,2018,"AL"
"35476",0.7013,0.75,0.9182,0.9686,0.9355,2018,"AL"
"35477",0.577,0.7909,0.5928,0.0959,0.3962,2018,"AL"
"35480",0.1604,0.2642,0.2469,0.0519,0.0566,2018,"AL"
"35481",0.8538,0.9623,0.9198,0.8805,0.9764,2018,"AL"
"35490",0.3821,0.5283,0.7013,0.2673,0.423,2018,"AL"
"35501",0.6274,0.7374,0.816,0.9623,0.9009,2018,"AL"
"35503",0.522,0.2956,0.077,0.8255,0.4937,2018,"AL"
"35504",0.2925,0.8443,0.6069,0.7343,0.6509,2018,"AL"
"35540",0.239,0.8208,0.0299,0.6572,0.3884,2018,"AL"
"35541",0.489,0.4497,0.2783,0.1415,0.2406,2018,"AL"
"35542",0.3679,0.4277,0.0629,0.3506,0.2311,2018,"AL"
"35543",0.9465,0.3711,0.0739,0.2657,0.4906,2018,"AL"
